renda,tempo_emprego,sexo_M,tipo_renda_Empresário,posse_de_imovel_True,educacao_Superior_completo,idade,qt_pessoas_residencia
2530.56,27.61369863013699,0,0,1,0,48,1.0
3718.4,18.6027397260274,0,1,0,1,42,1.0
1749.53,3.432876712328768,0,0,1,0,46,3.0
1503.36,4.575342465753423,0,0,0,0,30,4.0
2279.54,4.931506849315068,1,0,1,1,38,3.0
2011.47,9.465753424657532,0,0,1,0,34,2.0
8614.8,13.663013698630134,0,1,0,0,39,4.0
1633.73,1.8712328767123287,0,0,1,0,35,1.0
2394.99,2.249315068493151,0,1,0,0,46,2.0
11032.31,23.69041095890411,0,1,1,0,44,2.0
4541.73,9.186301369863012,1,0,0,1,48,3.0
7274.41,2.410958904109589,1,0,1,0,45,2.0
7247.47,8.638356164383561,0,0,1,1,47,2.0
1292.13,2.1863013698630143,0,0,0,0,33,2.0
5782.57,14.643835616438356,0,0,0,1,34,4.0
6487.16,14.602739726027398,0,1,0,0,38,2.0
7606.14,11.046575342465754,0,1,0,0,37,2.0
1116.7,2.887671232876712,0,0,1,0,39,1.0
4201.05,10.2,0,1,0,1,36,4.0
11569.61,6.383561643835616,0,0,1,1,35,2.0
1706.16,0.547945205479452,1,0,1,0,34,5.0
2174.61,1.7589041095890412,0,1,1,0,49,1.0
12782.46,12.117808219178084,1,1,1,0,43,4.0
2669.66,6.706849315068491,1,0,1,0,50,2.0
1133.54,8.684931506849315,0,0,1,1,27,3.0
4881.12,7.835616438356165,0,1,0,0,39,3.0
7145.4,2.8794520547945206,0,1,0,1,24,1.0
1822.95,12.065753424657537,0,0,1,1,43,3.0
9248.5,8.715068493150685,1,0,1,1,30,3.0
5951.31,0.536986301369863,0,0,0,1,46,2.0
4028.76,15.186301369863012,0,0,0,0,57,2.0
7126.14,1.4575342465753425,0,0,1,1,39,4.0
4324.35,1.356164383561644,0,0,0,1,34,3.0
920.97,6.263013698630138,0,0,0,1,35,2.0
6673.71,20.797260273972608,0,0,0,0,43,2.0
5042.48,3.854794520547945,0,0,1,0,45,1.0
1575.54,1.6821917808219178,0,0,0,1,32,4.0
6962.94,2.1780821917808217,1,1,1,0,31,1.0
6665.16,6.63013698630137,1,0,1,0,47,2.0
3442.4,13.432876712328769,0,0,1,0,33,3.0
2134.05,5.63013698630137,1,0,1,1,47,2.0
4105.46,6.372602739726028,1,0,0,1,24,2.0
5366.41,15.035616438356165,0,0,1,0,37,2.0
2015.84,1.868493150684932,0,0,0,1,36,4.0
2701.46,4.454794520547946,1,0,0,0,38,3.0
3834.12,5.846575342465752,0,0,0,1,32,2.0
2029.89,8.312328767123287,0,0,1,0,43,2.0
2034.35,3.9315068493150687,0,0,1,0,39,3.0
2393.59,2.712328767123288,1,1,1,0,29,2.0
6078.57,8.10684931506849,0,0,1,0,42,2.0
729.12,0.5780821917808219,1,0,0,0,41,2.0
4061.84,8.06027397260274,1,0,1,0,46,2.0
6096.45,16.44931506849315,1,0,1,0,37,4.0
7620.51,14.756164383561645,0,0,1,1,50,1.0
1725.13,3.5095890410958903,0,0,0,0,36,2.0
2995.04,4.5178082191780815,0,0,1,0,37,3.0
3829.1,10.868493150684932,0,0,1,1,56,1.0
10472.86,7.520547945205481,1,1,1,1,50,1.0
1634.01,0.3808219178082192,1,0,0,0,26,3.0
7498.04,7.701369863013697,1,0,0,0,49,1.0
4316.84,17.186301369863013,0,1,1,0,35,1.0
2703.84,29.64657534246575,0,0,0,0,52,2.0
5659.77,4.016438356164383,1,1,1,1,41,3.0
8996.39,20.315068493150687,1,1,1,1,52,2.0
5257.93,4.789041095890411,1,0,1,1,32,2.0
1484.21,5.035616438356166,0,0,0,1,55,2.0
3933.54,29.473972602739725,0,1,0,0,51,2.0
5000.67,9.512328767123286,0,0,1,1,43,2.0
927.21,1.180821917808219,0,1,0,0,27,3.0
11169.33,17.68767123287671,0,0,1,1,56,2.0
957.87,0.3753424657534247,0,1,1,0,28,2.0
1814.89,4.101369863013699,0,0,0,1,33,2.0
12680.46,7.967123287671233,1,1,1,1,57,1.0
570.42,0.6438356164383562,0,1,0,0,39,3.0
727.78,6.2027397260273975,0,1,1,0,28,2.0
5836.28,0.9616438356164384,1,0,1,1,48,2.0
7620.02,12.432876712328769,1,1,0,0,56,2.0
1138.81,2.0136986301369864,0,0,0,0,27,3.0
8844.91,2.5534246575342467,1,1,1,1,32,1.0
10401.44,28.03287671232877,0,0,0,0,60,1.0
1886.05,7.032876712328767,0,0,0,1,52,2.0
5819.74,0.9616438356164384,1,0,1,0,48,2.0
7593.83,3.0465753424657533,1,1,1,1,38,2.0
3697.85,4.550684931506848,0,0,0,0,47,2.0
3752.02,2.8465753424657536,0,0,1,0,49,2.0
6551.34,6.27123287671233,0,0,1,1,30,4.0
5983.02,10.26849315068493,0,0,1,1,48,1.0
12877.54,6.7452054794520535,1,0,1,1,66,2.0
7906.48,6.786301369863014,1,0,1,1,36,4.0
9517.47,5.013698630136987,1,0,1,1,32,2.0
1328.9,2.010958904109589,0,1,1,0,28,2.0
6736.28,25.54794520547945,0,0,0,0,51,2.0
3023.85,5.679452054794519,0,0,1,1,28,1.0
2342.29,4.413698630136986,1,0,0,0,32,2.0
10921.46,18.18904109589041,1,0,1,0,36,2.0
6035.58,4.424657534246577,1,0,0,0,42,2.0
5159.12,3.1260273972602737,1,1,1,0,33,2.0
1787.48,10.191780821917806,0,0,0,0,35,3.0
2209.76,9.463013698630135,0,0,1,0,35,3.0
2166.44,8.123287671232879,0,0,1,1,32,3.0
5568.55,6.7315068493150685,0,1,1,0,45,2.0
9137.89,4.035616438356166,1,0,0,1,27,3.0
4442.62,3.4301369863013704,0,0,0,0,53,2.0
3581.12,23.2027397260274,0,0,1,1,47,1.0
2723.49,9.128767123287671,0,0,1,1,43,2.0
5639.96,4.273972602739726,1,1,0,1,35,2.0
1881.02,5.715068493150685,0,0,1,1,31,3.0
1486.72,3.783561643835617,0,0,1,1,43,1.0
4712.06,1.6904109589041096,1,1,1,0,38,3.0
4597.92,19.76164383561644,0,0,1,0,50,2.0
3394.7,0.6821917808219178,1,0,1,0,33,4.0
2705.5,6.9753424657534255,1,0,0,0,37,4.0
3884.66,2.263013698630137,1,0,1,1,27,1.0
2194.46,0.5068493150684932,1,0,1,0,44,3.0
4067.45,12.758904109589038,0,0,1,1,35,4.0
3823.51,6.767123287671232,0,0,0,0,42,5.0
3486.61,15.449315068493153,1,0,1,0,37,3.0
1929.15,4.252054794520548,0,1,1,1,39,2.0
905.79,7.2684931506849315,0,0,0,1,37,4.0
747.4,4.3863013698630136,0,0,1,0,52,2.0
7235.64,6.802739726027397,1,1,0,0,29,3.0
3422.97,7.315068493150685,0,1,1,1,45,3.0
5131.77,8.684931506849315,0,0,1,1,38,2.0
6215.01,2.5397260273972604,0,1,0,1,39,2.0
6296.58,7.142465753424657,1,0,0,0,28,1.0
3588.44,4.693150684931507,1,0,1,0,36,3.0
6903.73,3.6657534246575336,0,0,0,1,26,2.0
1707.93,3.1095890410958904,1,0,0,0,34,4.0
1614.6,11.58904109589041,0,0,0,0,29,3.0
4801.81,4.369863013698629,1,0,0,0,30,3.0
7977.48,13.641095890410964,0,1,1,0,55,2.0
5886.25,8.136986301369863,0,0,1,0,38,2.0
3482.16,0.7150684931506849,0,0,1,0,38,3.0
8563.93,17.38082191780822,0,0,0,1,37,4.0
2451.86,4.2027397260273975,0,0,1,0,50,1.0
1782.22,6.780821917808219,0,0,1,1,41,2.0
3594.85,5.657534246575342,0,1,0,1,30,3.0
7181.25,12.032876712328768,0,0,0,0,40,2.0
8621.02,2.3013698630136985,0,0,0,0,33,4.0
1406.84,1.2712328767123289,0,1,1,0,58,2.0
8526.42,10.043835616438356,0,0,0,0,50,2.0
1928.65,0.7561643835616438,1,0,0,0,27,2.0
729.55,0.4657534246575342,0,0,1,1,41,2.0
5278.92,5.490410958904111,0,1,0,1,40,2.0
8202.51,13.082191780821915,1,0,1,1,44,2.0
752.04,13.635616438356164,0,0,0,1,35,4.0
7183.74,1.9315068493150684,1,0,1,1,29,2.0
1218.39,3.8301369863013695,0,1,1,1,43,3.0
2157.97,4.846575342465753,0,0,1,1,30,3.0
4689.34,11.271232876712329,1,0,1,0,47,2.0
2628.3,4.035616438356166,1,0,1,0,51,3.0
6202.58,0.6273972602739726,1,1,1,1,40,4.0
4141.48,8.227397260273973,1,1,1,1,36,4.0
2750.1,10.424657534246576,0,0,1,0,39,3.0
593.13,3.1780821917808217,0,0,0,0,50,2.0
1600.21,2.7753424657534245,0,0,1,0,58,2.0
5723.19,4.712328767123288,1,0,1,0,46,2.0
3608.02,0.7589041095890411,0,1,1,1,30,2.0
6702.07,2.9616438356164383,0,0,1,1,53,2.0
2893.52,0.8410958904109589,1,0,0,0,33,2.0
8856.45,15.402739726027391,0,0,1,0,48,2.0
